index,value
263,3.14702e-05
264,1.19652e-07
265,3.21376e-05
266,3.11612e-05
267,3.23183e-05
268,3.21392e-05
269,3.41246e-05
270,3.1512e-05
271,1.16634e-07
272,6.65173e-08
273,3.21981e-05
274,3.25321e-05
275,3.33029e-05
276,3.25547e-05
277,3.12009e-05
278,1.10844e-07
279,1.13525e-07
280,3.23956e-05
281,1.14363e-07
282,1.12393e-07
283,9.49023e-08
284,3.22941e-05
285,3.23527e-05
286,3.54393e-05
287,3.37441e-05
288,3.4429e-05
289,3.51472e-05
290,3.34332e-05
291,3.44762e-05
292,3.37606e-05
293,3.45231e-05
294,1.1174e-07
295,3.27113e-05
296,3.34835e-05
297,1.17528e-07
298,1.08471e-07
299,1.03947e-07
300,5.42017e-08
301,3.20441e-05
302,3.34822e-05
303,3.38833e-05
304,3.27929e-05
305,3.27971e-05
306,1.05393e-07
307,3.39503e-05
308,3.24564e-05
309,1.10354e-07
310,3.28042e-05
311,3.32822e-05
312,3.20991e-05
313,3.39904e-05
314,3.25293e-05
315,1.0733e-07
316,3.13408e-05
317,3.34589e-05
318,3.17546e-05
319,3.53351e-05
320,3.17402e-05
321,1.06883e-07
322,3.25436e-05
323,1.05113e-07
324,3.33663e-05
325,3.50505e-05
326,1.06538e-07
327,3.45828e-05
328,3.21913e-05
329,3.52369e-05
330,3.30457e-05
331,3.66191e-05
332,9.55015e-08
333,3.18144e-05
334,3.30624e-05
335,3.34962e-05
336,9.67335e-08
337,3.47356e-05
338,3.30741e-05
339,1.09419e-07
340,3.52707e-05
341,3.62144e-05
342,3.2722e-05
343,3.39564e-05
344,9.45424e-08
345,3.78725e-05
346,3.75719e-05
347,4.07105e-05
348,3.27859e-05
349,3.2359e-05
350,3.22252e-05
351,9.22327e-08
352,9.00868e-08
353,8.7997e-08
354,3.19293e-05
355,3.23391e-05
356,3.19289e-05
357,3.10738e-05
358,8.67935e-08
359,8.9686e-08
360,3.10766e-05
361,9.9291e-08
362,3.33577e-05
363,8.90715e-08
364,3.19604e-05
365,4.92851e-08
366,3.19806e-05
367,3.1961e-05
368,3.11434e-05
369,3.15545e-05
370,3.24012e-05
371,3.1556e-05
372,3.24453e-05
373,8.36611e-08
374,8.51504e-08
375,3.2468e-05
376,8.43167e-08
377,8.20669e-08
378,7.06615e-08
379,3.11064e-05
380,3.31246e-05
381,3.59001e-05
382,3.46084e-05
383,3.62846e-05
384,3.301e-05
385,3.25077e-05
386,8.20335e-08
387,8.72884e-08
388,3.20351e-05
389,8.1662e-08
390,7.94357e-08
391,6.14291e-08
392,3.25715e-05
393,3.24701e-05
394,3.30964e-05
395,3.21074e-05
396,8.12904e-08
397,8.29789e-08
398,3.11871e-05
399,8.2228e-08
400,7.87531e-08
401,3.26301e-05
402,3.36376e-05
403,8.06461e-08
404,3.31777e-05
405,3.31393e-05
406,3.22908e-05
407,3.3178e-05
408,3.54353e-05
409,3.31726e-05
410,3.06859e-05
411,3.21737e-05
412,3.17185e-05
413,3.27162e-05
414,3.37331e-05
415,3.2236e-05
416,6.96091e-08
417,7.93868e-08
418,3.31972e-05
419,7.7835e-08
420,3.12194e-05
421,3.38347e-05
422,3.48564e-05
423,8.07811e-08
424,3.27673e-05
425,3.22845e-05
426,3.2808e-05
427,3.44007e-05
428,3.40368e-05
429,3.33442e-05
430,7.51653e-08
431,7.71058e-08
432,7.934e-08
433,3.44692e-05
434,7.66512e-08
435,3.43508e-05
436,8.24334e-08
437,3.60963e-05
438,3.3326e-05
439,8.07698e-08
440,3.50671e-05
441,3.3481e-05
442,8.27983e-08
443,3.61865e-05
444,3.3523e-05
445,5.1572e-08
446,3.18248e-05
447,3.12686e-05
448,6.90916e-08
449,3.18696e-05
450,7.41095e-08
451,3.4611e-05
452,3.51338e-05
453,3.3235e-05
454,7.36456e-08
455,8.46137e-08
456,3.45113e-05
457,7.95471e-08
458,3.52861e-05
459,7.78759e-08
460,3.59066e-05
461,3.33995e-05
462,4.99519e-08
463,3.24667e-05
464,3.34361e-05
465,7.19854e-08
466,7.42928e-08
467,3.30511e-05
468,7.77107e-08
469,7.01581e-08
470,6.96073e-08
471,3.19501e-05
472,7.83636e-08
473,3.25189e-05
474,3.24996e-05
475,3.31884e-05
476,3.42207e-05
477,3.31473e-05
478,6.18877e-08
479,3.37495e-05
480,3.31161e-05
481,3.28643e-05
482,3.43557e-05
483,3.52635e-05
484,3.43766e-05
485,3.37752e-05
486,6.76333e-08
487,7.15735e-08
488,3.50305e-05
489,7.38411e-08
490,7.00319e-08
491,3.50982e-05
492,3.26285e-05
493,3.80804e-05
494,3.23771e-05
495,6.5659e-08
496,6.11181e-08
497,3.45185e-05
498,3.44968e-05
499,3.49372e-05
500,3.50878e-05
501,3.38429e-05
502,3.2039e-05
503,3.51893e-05
504,6.45949e-08
505,3.45209e-05
506,3.32722e-05
507,3.34625e-05
508,3.39244e-05
509,3.57321e-05
510,3.6506e-05
511,3.27429e-05
512,3.40077e-05
513,3.53816e-05
514,3.48874e-05
515,3.78783e-05
516,7.56602e-08
517,6.95292e-08
518,3.72751e-05
519,7.53295e-08
520,6.92348e-08
521,3.60153e-05
522,3.92319e-05
523,3.3478e-05
524,3.67006e-05
525,3.9389e-05
526,3.40638e-05
527,3.61173e-05
528,3.5398e-05
529,3.34523e-05
530,3.80489e-05
531,3.69721e-05
532,7.24562e-08
533,3.87072e-05
534,3.7009e-05
535,7.21673e-08
536,3.99917e-05
537,3.2896e-05
538,3.95751e-05
539,6.81127e-08
540,3.49096e-05
541,3.89542e-05
542,6.39901e-08
543,3.55744e-05
544,7.00958e-08
545,7.38214e-08
546,3.82553e-05
547,3.76438e-05
548,4.03825e-05
549,3.28397e-05
550,5.93625e-08
551,6.20086e-08
552,6.31059e-08
553,3.54271e-05
554,5.7833e-08
555,3.36425e-05
556,3.24825e-05
557,3.57368e-05
558,6.05058e-08
559,3.35735e-05
560,3.50938e-05
561,3.26943e-05
562,3.57358e-05
563,3.5885e-05
564,3.35906e-05
565,3.27177e-05
566,3.50388e-05
567,3.37132e-05
568,4.64989e-08
569,3.37206e-05
570,3.31359e-05
571,5.76607e-08
572,6.24276e-08
573,3.1838e-05
574,6.00231e-08
575,5.98873e-08
576,3.45099e-05
577,3.73385e-05
578,3.53879e-05
579,4.39503e-05
580,4.43886e-05
581,7.37106e-08
582,3.73843e-05
583,3.64623e-08
584,3.51412e-05
585,3.60438e-05
586,6.75564e-08
587,6.78011e-08
588,3.09057e-05
589,3.3165e-05
590,3.60027e-05
