index,value
231,-0.0180705
232,4.17092
233,2385.1
234,-0.0180705
235,4.17092
236,2385.1
237,-0.0180705
238,4.17092
239,2385.1
240,-0.0180705
241,4.17092
242,2385.1
243,-0.0180705
244,4.17092
245,2385.1
246,-0.0180705
247,4.17092
248,2385.1
249,-0.0180705
250,4.17092
251,2385.1
252,-0.0180705
253,4.17092
254,2385.1
255,-0.0180705
256,4.17092
257,2385.1
258,-0.0180705
259,4.17092
260,2385.1
261,-0.0180705
262,4.17092
263,2385.1
264,-0.0180705
265,4.17092
266,2385.1
267,-0.0180705
268,4.17092
269,2385.1
270,-0.0180705
271,4.17092
272,2385.1
273,-0.0180705
274,4.17092
275,2385.1
276,-0.0180705
277,4.17092
278,2385.1
279,-0.0180705
280,4.17092
281,2385.1
282,-0.0180705
283,4.17092
284,2385.1
285,-0.0180705
286,4.17092
287,2385.1
288,-0.0180705
289,4.17092
290,2385.1
291,-0.0180705
292,4.17092
293,2385.1
294,-0.0180705
295,4.17092
296,2385.1
297,-0.0180705
298,4.17092
299,2385.1
300,8.74693
301,-0.0197697
302,-1.6994
303,0.0352855
304,3470.33
305,48.7027
306,2917.37
307,-0.0216719
308,5.72985
309,-0.0531194
310,2084.62
311,26.7202
312,755.678
313,-0.012291
314,3.95204
315,-0.0409199
316,2008.02
317,24.2454
318,701.326
319,-0.00944307
320,3.30385
321,-0.0352754
322,1970.16
323,24.0111
324,832.406
325,-0.00918502
326,3.31506
327,-0.034681
328,1979.32
329,24.0124
330,846.507
331,-0.00920645
332,3.34227
333,-0.034747
334,1981.2
335,24.0359
336,843.313
337,-0.00920551
338,3.34513
339,-0.0347732
340,1981.04
341,24.0415
342,842.303
343,-0.00919921
344,3.34437
345,-0.0347742
346,1980.93
347,24.0414
348,842.304
349,-0.00919629
350,3.34416
351,-0.0347734
352,1980.92
353,24.0411
354,842.344
355,-0.00919535
356,3.34417
357,-0.0347732
358,1980.93
359,24.041
360,842.349
361,-0.00919505
362,3.34417
363,-0.0347732
364,1980.93
365,24.041
366,842.348
367,-0.00919495
368,3.34418
369,-0.0347732
370,1980.93
371,24.041
372,842.348
373,-0.00919491
374,3.34418
375,-0.0347732
376,1980.93
377,24.041
378,842.348
379,-0.00919489
380,3.34418
381,-0.0347732
382,1980.93
383,24.041
384,842.348
385,-0.00919489
386,3.34418
387,-0.0347732
388,1980.93
389,24.041
390,842.348
391,-0.00919488
392,3.34418
393,-0.0347732
394,1980.93
395,24.041
396,842.348
397,-0.00919488
398,3.34418
399,-0.0347732
400,1980.93
401,24.041
402,842.348
403,-0.00919488
404,3.34418
405,-0.0347732
406,1980.93
407,24.041
408,842.348
409,-0.00919488
410,3.34418
411,-0.0347732
412,1980.93
413,24.041
414,842.348
415,-0.00919488
416,3.34418
417,-0.0347732
418,1980.93
419,24.041
420,842.348
421,-0.00919488
422,3.34418
423,-0.0347732
424,1980.93
425,24.041
426,842.348
427,-0.00919488
428,3.34418
429,-0.0347732
430,1980.93
431,24.041
432,842.348
433,-0.00919488
434,3.34418
435,-0.0347732
436,1980.93
437,24.041
438,842.348
439,-0.00919488
440,3.34418
441,-0.0347732
442,1980.93
443,24.041
444,842.348
445,-0.00919488
446,3.34418
447,-0.0347732
448,1980.93
449,24.041
450,842.348
451,-0.00919488
452,3.34418
453,-0.0347732
454,1980.93
455,24.041
456,842.348
457,-0.00919488
458,3.34418
459,-0.0347732
460,1980.93
461,24.041
462,842.348
463,-0.00919488
464,3.34418
465,-0.0347732
466,1980.93
467,24.041
468,842.348
469,-0.00919488
470,3.34418
471,-0.0347732
472,1980.93
473,24.041
474,842.348
475,-0.00919488
476,3.34418
477,-0.0347732
478,1980.93
479,24.041
480,842.348
481,-0.00919488
482,3.34418
483,-0.0347732
484,1980.93
485,24.041
486,842.348
487,-0.00919488
488,3.34418
489,-0.0347732
490,1980.93
491,24.041
492,842.348
493,-0.00919488
494,3.34418
495,-0.0347732
496,1980.93
497,24.041
498,842.348
499,-0.00919488
500,3.34418
501,-0.0347732
502,1980.93
503,24.041
504,842.348
505,-0.00919488
506,3.34418
507,-0.0347732
508,1980.93
509,24.041
510,842.348
511,-0.00919488
512,3.34418
513,-0.0347732
514,1980.93
515,24.041
516,842.348
517,-0.00919488
518,3.34418
519,-0.0347732
520,1980.93
521,24.041
522,842.348
523,-0.00919488
524,3.34418
525,-0.0347732
526,1980.93
527,24.041
528,842.348
529,-0.00919488
530,3.34418
531,-0.0347732
532,1980.93
533,24.041
534,842.348
535,-0.00919488
536,3.34418
537,-0.0347732
538,1980.93
539,24.041
540,842.348
541,-0.00919488
542,3.34418
543,-0.0347732
544,1980.93
545,24.041
546,842.348
547,-0.00919488
548,3.34418
549,-0.0347732
550,1980.93
551,24.041
552,842.348
553,-0.00919488
554,3.34418
555,-0.0347732
556,1980.93
557,24.041
558,842.348
559,-0.00919488
560,3.34418
561,-0.0347732
562,1980.93
563,24.041
564,842.348
565,-0.00919488
566,3.34418
567,-0.0347732
568,1980.93
569,24.041
570,842.348
571,-0.00919488
572,3.34418
573,-0.0347732
574,1980.93
575,24.041
576,842.348
577,-0.00919488
578,3.34418
579,-0.0347732
580,1980.93
581,24.041
582,842.348
583,-0.00919488
584,3.34418
585,-0.0347732
586,1980.93
587,24.041
588,842.348
589,-0.00919488
590,3.34418
591,-0.0347732
592,1980.93
593,24.041
594,842.348
595,-0.00919488
596,3.34418
597,-0.0347732
598,1980.93
599,24.041
600,842.348
601,-0.00919488
