index,value
108,3.08615e-05
109,2.78311e-07
110,3.0635e-05
111,3.07683e-05
112,3.06826e-05
113,3.09011e-05
114,3.04959e-05
115,3.07208e-05
116,3.07186e-05
117,3.07581e-05
118,3.08207e-05
119,3.05706e-05
120,3.08705e-05
121,3.09551e-05
122,2.40039e-07
123,2.45923e-07
124,3.06554e-05
125,2.36742e-07
126,2.40151e-07
127,3.0816e-05
128,3.07552e-05
129,2.35825e-07
130,3.05729e-05
131,3.08622e-05
132,3.06068e-05
133,2.29382e-07
134,3.07304e-05
135,2.22182e-07
136,3.04409e-05
137,3.06409e-05
138,2.19121e-07
139,3.04218e-05
140,3.05615e-05
141,2.12158e-07
142,3.05755e-05
143,3.07957e-05
144,2.10005e-07
145,3.03097e-05
146,3.06981e-05
147,2.02967e-07
148,3.02127e-05
149,2.01924e-07
150,2.01613e-07
151,3.02701e-05
152,1.89308e-07
153,1.95658e-07
154,3.02194e-05
155,1.94264e-07
156,1.92877e-07
157,3.045e-05
158,1.42668e-07
159,1.8813e-07
160,1.87423e-07
161,1.843e-07
162,3.04541e-05
163,3.03147e-05
164,1.81132e-07
165,1.80419e-07
166,3.05973e-05
167,3.04221e-05
168,3.07861e-05
169,3.07694e-05
170,1.75342e-07
171,1.74043e-07
172,3.0557e-05
173,1.29183e-07
174,1.73799e-07
175,3.08328e-05
176,2.99149e-05
177,3.08747e-05
178,3.06819e-05
179,3.07785e-05
180,3.09933e-05
181,3.02723e-05
182,3.06922e-05
183,3.04719e-05
184,1.62917e-07
185,1.63745e-07
186,3.02593e-05
187,1.59595e-07
188,1.63179e-07
189,8.0084e-08
190,3.08963e-05
191,3.06782e-05
192,3.06784e-05
193,3.07507e-05
194,3.0453e-05
195,3.04256e-05
196,3.02297e-05
197,3.08155e-05
198,3.07727e-05
199,1.47974e-07
200,1.48924e-07
201,3.00237e-05
202,1.48016e-07
203,1.48237e-07
204,3.07481e-05
205,1.46004e-07
206,3.0178e-05
207,1.45371e-07
208,3.01702e-05
209,1.43876e-07
210,1.4325e-07
211,3.02369e-05
212,1.43034e-07
213,1.41043e-07
214,3.01519e-05
215,1.41022e-07
216,1.39008e-07
217,3.01461e-05
218,3.02692e-05
219,3.02994e-05
220,3.0033e-05
221,3.02682e-05
222,3.03503e-05
223,3.02663e-05
224,3.01758e-05
225,3.03115e-05
226,3.01435e-05
227,3.01793e-05
228,3.0398e-05
229,2.9849e-05
230,1.30407e-07
231,3.05419e-05
232,2.98595e-05
233,3.05293e-05
234,1.2844e-07
235,3.05712e-05
236,3.05772e-05
237,3.0732e-05
238,3.0525e-05
239,3.02294e-05
240,3.04431e-05
241,3.07135e-05
242,3.08972e-05
243,3.04073e-05
244,8.87144e-08
245,3.02423e-05
246,3.03873e-05
247,3.07383e-05
248,1.2288e-07
249,3.0504e-05
250,1.1913e-07
251,1.19478e-07
252,3.02981e-05
253,3.0793e-05
254,1.18829e-07
255,3.02413e-05
256,3.07623e-05
257,3.0399e-05
258,1.17937e-07
259,3.07389e-05
260,1.14395e-07
261,1.17179e-07
262,3.04116e-05
263,3.0607e-05
264,1.14547e-07
265,3.0307e-05
266,3.07072e-05
267,3.02328e-05
268,3.03396e-05
269,2.96499e-05
270,3.06637e-05
271,1.11744e-07
272,6.5594e-08
273,3.04516e-05
274,3.03407e-05
275,3.00448e-05
276,3.02113e-05
277,3.06815e-05
278,1.08084e-07
279,1.08628e-07
280,3.03276e-05
281,1.06214e-07
282,1.07752e-07
283,9.09947e-08
284,3.05567e-05
285,3.03557e-05
286,2.95622e-05
287,3.03528e-05
288,2.99513e-05
289,2.97026e-05
290,3.04744e-05
291,2.99603e-05
292,2.99226e-05
293,2.99815e-05
294,1.02019e-07
295,3.02518e-05
296,3.02805e-05
297,9.90056e-08
298,1.00531e-07
299,1.02154e-07
300,5.06953e-08
301,3.06155e-05
302,3.00924e-05
303,2.98007e-05
304,3.02805e-05
305,3.02319e-05
306,9.93887e-08
307,2.99348e-05
308,3.01686e-05
309,9.46517e-08
310,2.99194e-05
311,2.99491e-05
312,3.0499e-05
313,2.96123e-05
314,3.01549e-05
315,9.34283e-08
316,3.06513e-05
317,2.96625e-05
318,3.06788e-05
319,2.90138e-05
320,3.04625e-05
321,9.22545e-08
322,3.02553e-05
323,9.17012e-08
324,3.01946e-05
325,2.92823e-05
326,8.97145e-08
327,2.97453e-05
328,3.03905e-05
329,2.94705e-05
330,3.04492e-05
331,2.88239e-05
332,7.88822e-08
333,3.05211e-05
334,3.03477e-05
335,3.04033e-05
336,9.07291e-08
337,2.98192e-05
338,3.01421e-05
339,8.67453e-08
340,3.04024e-05
341,2.9505e-05
342,3.04609e-05
343,2.98186e-05
344,8.66045e-08
345,2.97768e-05
346,3.06823e-05
347,2.8764e-05
348,3.0635e-05
349,3.0598e-05
350,3.05836e-05
351,8.46676e-08
352,8.58435e-08
353,8.55543e-08
354,3.05674e-05
355,3.02548e-05
356,3.04347e-05
357,3.08708e-05
358,8.42181e-08
359,8.38967e-08
360,3.07801e-05
361,8.34265e-08
362,3.07529e-05
363,8.13676e-08
364,3.0429e-05
365,4.86622e-08
366,3.04395e-05
367,3.0333e-05
368,3.07145e-05
369,3.06955e-05
